"rspi2" "popu2" "time"
"1950" NA 1829 1920
"1951" NA 1908 1921
"1952" NA 1949 1922
"1953" NA 1960 1923
"1954" NA 1951 1924
"1955" NA 1928 1925
"1956" NA 1899 1926
"1957" NA 1869 1927
"1958" NA 1847 1928
"1959" NA 1835 1929
"1960" NA 1840 1930
"1961" NA 1863 1931
"1962" NA 1904 1932
"1963" NA 1960 1933
"1964" NA 2029 1934
"1965" NA 2104 1935
"1966" NA 2190 1936
"1967" NA 2286 1937
"1968" NA 2373 1938
"1969" NA 2428 1939
"1970" 0.5 2438 1940
"1971" 0.5 2392 1941
"1972" 0.5 2300 1942
"1973" 1.9097 2191 1943
"1974" 1.4217 2107 1944
"1975" 2.9509 2076 1945
"1976" 0.5 2110 1946
"1977" 1.4049 2199 1947
"1978" NA 2324 1948
"1979" 0.5 2457 1949
"1980" NA 2575 1950
"1981" NA 2675 1951
"1982" NA 2763 1952
"1983" 0.5 2843 1953
"1984" 2.5359 2923 1954
"1985" NA 3007 1955
"1986" 1.3936 3097 1956
"1987" 0.5 3190 1957
"1988" NA 3290 1958
"1989" 0.5 3395 1959
"1990" 0.5 3510 1960
"1991" 0.5 3633 1961
"1992" NA 3764 1962
"1993" 1.4451 3909 1963
"1994" 0.5 4070 1964
"1995" 1.2594 4253 1965
"1996" NA 4458 1966
"1997" 2.5158 4684 1967
"1998" 0.5 4921 1968
"1999" 1.3716 5158 1969
"2000" 1.3647 5388 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
