"rspi2" "popu2" "time"
"1950" NA 118 1920
"1951" NA 124 1921
"1952" NA 129 1922
"1953" NA 135 1923
"1954" NA 142 1924
"1955" NA 149 1925
"1956" NA 157 1926
"1957" NA 166 1927
"1958" NA 174 1928
"1959" NA 185 1929
"1960" NA 195 1930
"1961" NA 207 1931
"1962" NA 219 1932
"1963" NA 232 1933
"1964" NA 246 1934
"1965" NA 260 1935
"1966" NA 275 1936
"1967" NA 292 1937
"1968" NA 309 1938
"1969" NA 323 1939
"1970" 5.5016 336 1940
"1971" 2.3884 345 1941
"1972" 0.5 351 1942
"1973" 3.9753 359 1943
"1974" 6.8413 378 1944
"1975" 3.6719 409 1945
"1976" 21.4601 457 1946
"1977" 17.8039 518 1947
"1978" NA 586 1948
"1979" 6.7375 645 1949
"1980" NA 690 1950
"1981" NA 716 1951
"1982" NA 724 1952
"1983" 15.142 723 1953
"1984" 13.1881 720 1954
"1985" NA 720 1955
"1986" 18.9626 726 1956
"1987" 13.7264 734 1957
"1988" NA 743 1958
"1989" 9.1596 751 1959
"1990" 3.95 754 1960
"1991" 12.7413 752 1961
"1992" NA 747 1962
"1993" 21.896 742 1963
"1994" 5.032 742 1964
"1995" 20.0172 747 1965
"1996" NA 760 1966
"1997" 24.8492 781 1967
"1998" 15.1304 806 1968
"1999" 18.8401 837 1969
"2000" 18.7463 866 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
