"rspi2" "popu2" "time"
"1950" NA 3121 1920
"1951" NA 3099 1921
"1952" NA 3060 1922
"1953" NA 3026 1923
"1954" NA 3014 1924
"1955" NA 3032 1925
"1956" NA 3081 1926
"1957" NA 3154 1927
"1958" NA 3239 1928
"1959" NA 3320 1929
"1960" NA 3382 1930
"1961" NA 3419 1931
"1962" NA 3438 1932
"1963" NA 3462 1933
"1964" NA 3522 1934
"1965" NA 3641 1935
"1966" NA 3827 1936
"1967" NA 4068 1937
"1968" NA 4345 1938
"1969" NA 4628 1939
"1970" 0.5 4894 1940
"1971" 0.5022 5138 1941
"1972" 0.5 5365 1942
"1973" 1.6403 5573 1943
"1974" 0.5 5762 1944
"1975" 1.4755 5934 1945
"1976" 0.5 6086 1946
"1977" 0.5 6219 1947
"1978" NA 6341 1948
"1979" 0.5 6466 1949
"1980" NA 6604 1950
"1981" NA 6758 1951
"1982" NA 6927 1952
"1983" 0.5 7106 1953
"1984" 0.5 7291 1954
"1985" NA 7476 1955
"1986" 0.5 7662 1956
"1987" 1.3389 7852 1957
"1988" NA 8048 1958
"1989" 0.5 8251 1959
"1990" 0.5 8464 1960
"1991" 3.4658 8684 1961
"1992" NA 8913 1962
"1993" 0.5 9158 1963
"1994" 0.5 9432 1964
"1995" 2.986 9743 1965
"1996" NA 10094 1966
"1997" 2.0451 10477 1967
"1998" 3.9496 10876 1968
"1999" 1.5215 11264 1969
"2000" 1.514 11625 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
