"rspi2" "popu2" "time"
"1950" NA 327 1920
"1951" NA 348 1921
"1952" NA 368 1922
"1953" NA 389 1923
"1954" NA 409 1924
"1955" NA 430 1925
"1956" NA 451 1926
"1957" NA 472 1927
"1958" NA 493 1928
"1959" NA 513 1929
"1960" NA 532 1930
"1961" NA 550 1931
"1962" NA 568 1932
"1963" NA 585 1933
"1964" NA 602 1934
"1965" NA 620 1935
"1966" NA 638 1936
"1967" NA 656 1937
"1968" NA 674 1938
"1969" NA 694 1939
"1970" 4.7098 715 1940
"1971" 1.7122 739 1941
"1972" 5.2629 764 1942
"1973" 3.5531 788 1943
"1974" 0.5 804 1944
"1975" 0.5 810 1945
"1976" 2.0709 803 1946
"1977" 3.7403 786 1947
"1978" NA 765 1948
"1979" 0.5 749 1949
"1980" NA 745 1950
"1981" NA 755 1951
"1982" NA 776 1952
"1983" 4.2991 806 1953
"1984" 5.0275 840 1954
"1985" NA 872 1955
"1986" 4.7074 903 1956
"1987" 4.6413 934 1957
"1988" NA 964 1958
"1989" 6.6659 993 1959
"1990" 1.3578 1022 1960
"1991" 2.6358 1050 1961
"1992" NA 1076 1962
"1993" 6.5099 1102 1963
"1994" 0.5 1131 1964
"1995" 2.9089 1163 1965
"1996" NA 1200 1966
"1997" 6.7851 1240 1967
"1998" 5.3146 1281 1968
"1999" 3.4734 1317 1969
"2000" 3.4561 1345 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
