"rspi2" "popu2" "time"
"1950" NA 2531 1920
"1951" NA 2615 1921
"1952" NA 2690 1922
"1953" NA 2751 1923
"1954" NA 2797 1924
"1955" NA 2827 1925
"1956" NA 2843 1926
"1957" NA 2851 1927
"1958" NA 2855 1928
"1959" NA 2865 1929
"1960" NA 2887 1930
"1961" NA 2925 1931
"1962" NA 2977 1932
"1963" NA 3038 1933
"1964" NA 3097 1934
"1965" NA 3148 1935
"1966" NA 3187 1936
"1967" NA 3218 1937
"1968" NA 3251 1938
"1969" NA 3297 1939
"1970" 0.5 3367 1940
"1971" 0.5 3465 1941
"1972" 0.5 3587 1942
"1973" 0.5 3722 1943
"1974" 0.5 3852 1944
"1975" 0.5 3965 1945
"1976" 0.5 4056 1946
"1977" 0.5 4133 1947
"1978" NA 4209 1948
"1979" 0.5 4308 1949
"1980" NA 4443 1950
"1981" NA 4619 1951
"1982" NA 4829 1952
"1983" 2.1878 5069 1953
"1984" 0.5 5333 1954
"1985" NA 5613 1955
"1986" 0.5 5913 1956
"1987" 1.3389 6230 1957
"1988" NA 6546 1958
"1989" 1.2593 6839 1959
"1990" 0.5 7093 1960
"1991" 0.5 7299 1961
"1992" NA 7466 1962
"1993" 0.5 7616 1963
"1994" 0.5 7783 1964
"1995" 1.4209 7991 1965
"1996" NA 8246 1966
"1997" 0.5 8540 1967
"1998" 2.95 8868 1968
"1999" 0.5445 9217 1969
"2000" 0.5418 9580 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
