"rspi2" "popu2" "time"
"1950" NA 3266 1920
"1951" NA 3363 1921
"1952" NA 3440 1922
"1953" NA 3495 1923
"1954" NA 3531 1924
"1955" NA 3552 1925
"1956" NA 3566 1926
"1957" NA 3586 1927
"1958" NA 3626 1928
"1959" NA 3702 1929
"1960" NA 3828 1930
"1961" NA 4011 1931
"1962" NA 4248 1932
"1963" NA 4526 1933
"1964" NA 4823 1934
"1965" NA 5124 1935
"1966" NA 5419 1936
"1967" NA 5712 1937
"1968" NA 6011 1938
"1969" NA 6331 1939
"1970" 0.5 6678 1940
"1971" 1.4981 7060 1941
"1972" 0.5 7466 1942
"1973" 0.5 7861 1943
"1974" 0.5 8198 1944
"1975" 0.5 8446 1945
"1976" 3.2994 8589 1946
"1977" 0.5 8642 1947
"1978" NA 8644 1948
"1979" 0.5 8647 1949
"1980" NA 8692 1950
"1981" NA 8792 1951
"1982" NA 8938 1952
"1983" 0.5 9113 1953
"1984" 3.0083 9294 1954
"1985" NA 9463 1955
"1986" 0.5 9615 1956
"1987" 0.5 9759 1957
"1988" NA 9910 1958
"1989" 1.2593 10087 1959
"1990" 0.5 10302 1960
"1991" 0.5 10560 1961
"1992" NA 10853 1962
"1993" 1.6522 11169 1963
"1994" 0.5 11491 1964
"1995" 0.5 11804 1965
"1996" NA 12106 1966
"1997" 0.5 12396 1967
"1998" 0.5 12671 1968
"1999" 0.7102 12927 1969
"2000" 0.7066 13161 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
