"rspi2" "popu2" "time"
"1950" NA 1016 1920
"1951" NA 1032 1921
"1952" NA 1049 1922
"1953" NA 1068 1923
"1954" NA 1090 1924
"1955" NA 1116 1925
"1956" NA 1146 1926
"1957" NA 1179 1927
"1958" NA 1216 1928
"1959" NA 1255 1929
"1960" NA 1296 1930
"1961" NA 1338 1931
"1962" NA 1380 1932
"1963" NA 1422 1933
"1964" NA 1464 1934
"1965" NA 1505 1935
"1966" NA 1547 1936
"1967" NA 1589 1937
"1968" NA 1624 1938
"1969" NA 1642 1939
"1970" 2.0171 1638 1940
"1971" 0.5 1608 1941
"1972" 1.6115 1556 1942
"1973" 5.7461 1497 1943
"1974" 1.5308 1450 1944
"1975" 0.5 1427 1945
"1976" 1.5943 1435 1946
"1977" 0.5 1469 1947
"1978" NA 1521 1948
"1979" 1.5616 1577 1949
"1980" NA 1629 1950
"1981" NA 1674 1951
"1982" NA 1715 1952
"1983" 1.7598 1754 1953
"1984" 1.5706 1793 1954
"1985" NA 1835 1955
"1986" 1.3936 1880 1956
"1987" 4.0166 1925 1957
"1988" NA 1972 1958
"1989" 0.5 2019 1959
"1990" 0.5 2067 1960
"1991" 1.5326 2118 1961
"1992" NA 2172 1962
"1993" 0.5 2222 1963
"1994" 1.5371 2260 1964
"1995" 0.5 2280 1965
"1996" NA 2279 1966
"1997" 0.5 2262 1967
"1998" 0.5 2246 1968
"1999" 0.5 2253 1969
"2000" 0.5 2299 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
