"rspi2" "popu2" "time"
"1950" NA 1238 1920
"1951" NA 1223 1921
"1952" NA 1237 1922
"1953" NA 1272 1923
"1954" NA 1319 1924
"1955" NA 1372 1925
"1956" NA 1426 1926
"1957" NA 1480 1927
"1958" NA 1531 1928
"1959" NA 1580 1929
"1960" NA 1627 1930
"1961" NA 1672 1931
"1962" NA 1713 1932
"1963" NA 1745 1933
"1964" NA 1763 1934
"1965" NA 1765 1935
"1966" NA 1748 1936
"1967" NA 1716 1937
"1968" NA 1676 1938
"1969" NA 1641 1939
"1970" 1.5674 1619 1940
"1971" 0.5 1611 1941
"1972" 0.5 1616 1942
"1973" 1.6399 1638 1943
"1974" 1.8082 1681 1944
"1975" 0.5 1748 1945
"1976" 1.4628 1842 1946
"1977" 0.5 1959 1947
"1978" NA 2085 1948
"1979" 0.5 2199 1949
"1980" NA 2286 1950
"1981" NA 2340 1951
"1982" NA 2366 1952
"1983" 1.8948 2373 1953
"1984" 0.5 2376 1954
"1985" NA 2386 1955
"1986" 1.7187 2408 1956
"1987" 1.3389 2440 1957
"1988" NA 2471 1958
"1989" 0.5 2491 1959
"1990" 0.5 2491 1960
"1991" 1.2142 2467 1961
"1992" NA 2427 1962
"1993" 4.0153 2390 1963
"1994" 0.5 2380 1964
"1995" 1.5576 2416 1965
"1996" NA 2506 1966
"1997" 2.9749 2643 1967
"1998" 0.5 2813 1968
"1999" 2.3204 2993 1969
"2000" 2.3088 3168 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
