"rspi2" "popu2" "time"
"1950" NA 560 1920
"1951" NA 575 1921
"1952" NA 592 1922
"1953" NA 611 1923
"1954" NA 632 1924
"1955" NA 655 1925
"1956" NA 680 1926
"1957" NA 705 1927
"1958" NA 731 1928
"1959" NA 756 1929
"1960" NA 779 1930
"1961" NA 800 1931
"1962" NA 820 1932
"1963" NA 839 1933
"1964" NA 859 1934
"1965" NA 880 1935
"1966" NA 903 1936
"1967" NA 926 1937
"1968" NA 951 1938
"1969" NA 979 1939
"1970" 0.5 1008 1940
"1971" 0.5 1040 1941
"1972" 3.1339 1075 1942
"1973" 0.5 1108 1943
"1974" 0.5 1137 1944
"1975" 0.5 1159 1945
"1976" 0.5 1172 1946
"1977" 3.7366 1178 1947
"1978" NA 1180 1948
"1979" 5.6211 1183 1949
"1980" NA 1192 1950
"1981" NA 1207 1951
"1982" NA 1228 1952
"1983" 0.5 1252 1953
"1984" 1.6709 1278 1954
"1985" NA 1303 1955
"1986" 1.4847 1327 1956
"1987" 4.1809 1349 1957
"1988" NA 1373 1958
"1989" 1.2593 1397 1959
"1990" 0.5 1425 1960
"1991" 2.6877 1456 1961
"1992" NA 1490 1962
"1993" 5.3083 1524 1963
"1994" 2.8841 1555 1964
"1995" 6.783 1579 1965
"1996" NA 1595 1966
"1997" 2.769 1605 1967
"1998" 6.7808 1614 1968
"1999" 4.8309 1630 1969
"2000" 4.8069 1659 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
