"rspi2" "popu2" "time"
"1950" NA 1495 1920
"1951" NA 1547 1921
"1952" NA 1582 1922
"1953" NA 1612 1923
"1954" NA 1646 1924
"1955" NA 1688 1925
"1956" NA 1737 1926
"1957" NA 1790 1927
"1958" NA 1837 1928
"1959" NA 1870 1929
"1960" NA 1880 1930
"1961" NA 1863 1931
"1962" NA 1823 1932
"1963" NA 1775 1933
"1964" NA 1738 1934
"1965" NA 1728 1935
"1966" NA 1749 1936
"1967" NA 1797 1937
"1968" NA 1861 1938
"1969" NA 1926 1939
"1970" 0.5 1980 1940
"1971" 1.9973 2020 1941
"1972" 0.5 2050 1942
"1973" 1.6135 2073 1943
"1974" 1.5805 2098 1944
"1975" 1.8428 2130 1945
"1976" 0.5 2169 1946
"1977" 0.5 2213 1947
"1978" NA 2260 1948
"1979" 0.5 2304 1949
"1980" NA 2343 1950
"1981" NA 2377 1951
"1982" NA 2408 1952
"1983" 0.5 2435 1953
"1984" 0.5 2457 1954
"1985" NA 2476 1955
"1986" 1.3936 2490 1956
"1987" 1.5348 2501 1957
"1988" NA 2518 1958
"1989" 1.6775 2554 1959
"1990" 0.5 2616 1960
"1991" 0.5 2709 1961
"1992" NA 2829 1962
"1993" 0.5 2971 1963
"1994" 0.5 3124 1964
"1995" 1.4587 3281 1965
"1996" NA 3439 1966
"1997" 1.4264 3600 1967
"1998" 0.5 3767 1968
"1999" 0.5943 3946 1969
"2000" 0.5913 4140 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
