"rspi2" "popu2" "time"
"1950" NA 2095 1920
"1951" NA 1952 1921
"1952" NA 1871 1922
"1953" NA 1838 1923
"1954" NA 1842 1924
"1955" NA 1873 1925
"1956" NA 1924 1926
"1957" NA 1990 1927
"1958" NA 2066 1928
"1959" NA 2149 1929
"1960" NA 2236 1930
"1961" NA 2325 1931
"1962" NA 2410 1932
"1963" NA 2487 1933
"1964" NA 2547 1934
"1965" NA 2586 1935
"1966" NA 2602 1936
"1967" NA 2597 1937
"1968" NA 2574 1938
"1969" NA 2540 1939
"1970" 0.5 2499 1940
"1971" 0.5 2454 1941
"1972" 0.5 2405 1942
"1973" 0.5 2361 1943
"1974" 2.1459 2330 1944
"1975" 0.5 2317 1945
"1976" 2.2006 2326 1946
"1977" 1.7444 2358 1947
"1978" NA 2413 1948
"1979" 0.5 2492 1949
"1980" NA 2595 1950
"1981" NA 2722 1951
"1982" NA 2872 1952
"1983" 0.5 3042 1953
"1984" 0.5 3229 1954
"1985" NA 3428 1955
"1986" 4.1809 3640 1956
"1987" 0.5 3862 1957
"1988" NA 4089 1958
"1989" 0.5 4313 1959
"1990" 0.5 4529 1960
"1991" 0.5 4734 1961
"1992" NA 4930 1962
"1993" 3.5466 5120 1963
"1994" 1.3113 5310 1964
"1995" 1.5805 5507 1965
"1996" NA 5711 1966
"1997" 2.5179 5922 1967
"1998" 1.5432 6137 1968
"1999" 2.29 6353 1969
"2000" 2.2786 6569 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
