"rspi2" "popu2" "time"
"1950" NA 3668 1920
"1951" NA 3640 1921
"1952" NA 3637 1922
"1953" NA 3673 1923
"1954" NA 3760 1924
"1955" NA 3903 1925
"1956" NA 4100 1926
"1957" NA 4344 1927
"1958" NA 4622 1928
"1959" NA 4919 1929
"1960" NA 5220 1930
"1961" NA 5516 1931
"1962" NA 5808 1932
"1963" NA 6108 1933
"1964" NA 6434 1934
"1965" NA 6799 1935
"1966" NA 7209 1936
"1967" NA 7652 1937
"1968" NA 8091 1938
"1969" NA 8480 1939
"1970" 0.5 8786 1940
"1971" 0.5 8994 1941
"1972" 2.9497 9119 1942
"1973" 0.5 9190 1943
"1974" 0.5 9249 1944
"1975" 0.5 9330 1945
"1976" 2.6533 9440 1946
"1977" 1.4049 9573 1947
"1978" NA 9727 1948
"1979" 0.5 9898 1949
"1980" NA 10082 1950
"1981" NA 10279 1951
"1982" NA 10493 1952
"1983" 0.5 10720 1953
"1984" 1.5041 10958 1954
"1985" NA 11204 1955
"1986" 0.5 11458 1956
"1987" 0.5 11718 1957
"1988" NA 11976 1958
"1989" 1.889 12222 1959
"1990" 0.5 12450 1960
"1991" 0.5 12655 1961
"1992" NA 12840 1962
"1993" 1.6507 13010 1963
"1994" 0.5 13176 1964
"1995" 1.9001 13345 1965
"1996" NA 13516 1966
"1997" 0.5 13686 1967
"1998" 0.5 13856 1968
"1999" 1.0944 14025 1969
"2000" 1.0889 14193 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
