"rspi2" "popu2" "time"
"1950" NA 189 1920
"1951" NA 189 1921
"1952" NA 192 1922
"1953" NA 200 1923
"1954" NA 211 1924
"1955" NA 225 1925
"1956" NA 242 1926
"1957" NA 261 1927
"1958" NA 281 1928
"1959" NA 300 1929
"1960" NA 317 1930
"1961" NA 332 1931
"1962" NA 345 1932
"1963" NA 357 1933
"1964" NA 369 1934
"1965" NA 382 1935
"1966" NA 396 1936
"1967" NA 411 1937
"1968" NA 427 1938
"1969" NA 443 1939
"1970" 3.5779 458 1940
"1971" 2.3082 473 1941
"1972" 13.1985 487 1942
"1973" 4.1128 501 1943
"1974" 6.5903 513 1944
"1975" 5.2355 522 1945
"1976" 0.5 529 1946
"1977" 0.5 533 1947
"1978" NA 536 1948
"1979" 1.6491 540 1949
"1980" NA 546 1950
"1981" NA 554 1951
"1982" NA 565 1952
"1983" 5.6904 577 1953
"1984" 3.2016 589 1954
"1985" NA 600 1955
"1986" 4.7551 611 1956
"1987" 5.8874 621 1957
"1988" NA 632 1958
"1989" 1.4523 644 1959
"1990" 0.5 659 1960
"1991" 3.768 676 1961
"1992" NA 696 1962
"1993" 2.7079 717 1963
"1994" 0.5 741 1964
"1995" 3.1682 766 1965
"1996" NA 793 1966
"1997" 10.8022 820 1967
"1998" 5.4495 850 1968
"1999" 2.1093 880 1969
"2000" 2.0988 911 1970
"2001" NA NA 1971
"2002" NA NA 1972
"2003" NA NA 1973
"2004" NA NA 1974
"2005" NA NA 1975
"2006" NA NA 1976
"2007" NA NA 1977
"2008" NA NA 1978
"2009" NA NA 1979
"2010" NA NA 1980
"2011" NA NA 1981
"2012" NA NA 1982
"2013" NA NA 1983
"2014" NA NA 1984
"2015" NA NA 1985
"2016" NA NA 1986
"2017" NA NA 1987
"2018" NA NA 1988
"2019" NA NA 1989
"2020" NA NA 1990
"2021" NA NA 1991
"2022" NA NA 1992
"2023" NA NA 1993
"2024" NA NA 1994
"2025" NA NA 1995
"2026" NA NA 1996
"2027" NA NA 1997
"2028" NA NA 1998
"2029" NA NA 1999
"2030" NA NA 2000
